name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	software_filters	status
Q22	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
Q23	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
R12	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
R13	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
R22	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
MLC11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC15	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC16	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC17	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC25	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC55	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC61	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC62	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLC63	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF25	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF33	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF34	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF35	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF43	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF44	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF45	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF46	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF55	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF56	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF61	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF62	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF63	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF64	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF65	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF66	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLF67	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO33	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO34	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO43	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO44	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLO53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP33	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP34	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP35	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP43	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP44	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP45	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP56	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLP57	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT15	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT16	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT25	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT26	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT27	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT33	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT34	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT35	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT36	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT37	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT43	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT44	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT45	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT46	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT47	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT55	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT56	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MLT57	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC15	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC16	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC17	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC25	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC55	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC61	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC62	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRC63	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF21	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF22	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF23	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF24	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF25	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF31	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF32	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF33	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF34	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF35	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF41	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF42	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF43	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF44	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF45	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF46	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF51	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF52	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF53	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF54	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF55	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF56	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF61	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF62	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF63	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF64	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF65	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF66	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRF67	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRO11	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRO12	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRO13	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
MRO14	MEGGRADAXIAL	T	Sensor 1st-order gradiometer channel located in head shell	2400	600	n/a	n/a	SpatialCompensation	good
