name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	software_filters	status
SCLK01	SYSCLOCK	s	System clock (integer counter incremented at 12kHz)	2400	n/a	n/a	n/a	n/a	good
BG1	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BG2	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BG3	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BP1	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BP2	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BP3	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BR1	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BR2	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
BR3	MEGREFMAG	T	Reference magnetometer channel	2400	600	n/a	n/a	n/a	good
G11	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
G12	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
G13	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
G22	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
G23	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
P11	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
P12	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
P13	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
P22	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
P23	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
Q11	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
Q12	MEGREFGRADAXIAL	T	Reference 1st-order gradiometer channel	2400	600	n/a	n/a	n/a	good
